CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/225-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226722
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/225-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226722
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 225
CASTNO = 1
DATE = 19990916
TIME = 2204
LATITUDE = 78.8337
LONGITUDE = 2.5667
DEPTH = 2469.8
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  4.7675,     4.0,  4.7678, 34.8558,16.0
  4.7620,     6.0,  4.7624, 34.8550,22.0
  4.7656,     8.0,  4.7662, 34.8554,16.0
  4.7642,    10.0,  4.7649, 34.8550,21.0
  4.7591,    12.0,  4.7600, 34.8543,18.0
  4.7507,    14.0,  4.7517, 34.8532,23.0
  4.7558,    16.0,  4.7570, 34.8542,21.0
  4.7649,    18.0,  4.7662, 34.8561,12.0
  4.7867,    20.0,  4.7882, 34.8600,15.0
  4.7858,    22.0,  4.7874, 34.8602,18.0
  4.7833,    24.0,  4.7851, 34.8601,16.0
  4.7852,    26.0,  4.7871, 34.8603,13.0
  4.7823,    28.0,  4.7844, 34.8599,16.0
  4.8033,    30.0,  4.8056, 34.8632,13.0
  4.7827,    32.0,  4.7851, 34.8612,15.0
  4.7789,    34.0,  4.7814, 34.8610,12.0
  4.8233,    36.0,  4.8261, 34.8694,13.0
  4.8624,    38.0,  4.8653, 34.8773,15.0
  5.1384,    40.0,  5.1415, 34.9322,15.0
  5.1358,    42.0,  5.1390, 34.9327,18.0
  5.2062,    44.0,  5.2096, 34.9475,16.0
  5.3099,    46.0,  5.3136, 34.9716,21.0
  5.2552,    48.0,  5.2590, 34.9638,14.0
  5.0914,    50.0,  5.0953, 34.9504,17.0
  4.9878,    52.0,  4.9918, 34.9505,20.0
  4.8897,    54.0,  4.8938, 34.9452,18.0
  4.7803,    56.0,  4.7845, 34.9401,21.0
  4.8175,    58.0,  4.8219, 34.9577,21.0
  4.7779,    60.0,  4.7824, 34.9634,20.0
  4.7132,    62.0,  4.7178, 34.9692,16.0
  4.6790,    64.0,  4.6838, 35.0022,18.0
  4.6444,    66.0,  4.6493, 35.0182,19.0
  4.4967,    68.0,  4.5017, 35.0127,15.0
  4.5193,    70.0,  4.5245, 35.0369,14.0
  4.4899,    72.0,  4.4952, 35.0413,16.0
  4.4289,    74.0,  4.4343, 35.0386,12.0
  4.4207,    76.0,  4.4263, 35.0411,17.0
  4.3960,    78.0,  4.4017, 35.0446,16.0
  4.3736,    80.0,  4.3794, 35.0477,17.0
  4.3313,    82.0,  4.3372, 35.0509,14.0
  4.3167,    84.0,  4.3227, 35.0504,16.0
  4.2924,    86.0,  4.2986, 35.0504,12.0
  4.3037,    88.0,  4.3100, 35.0555,14.0
  4.3186,    90.0,  4.3251, 35.0578,16.0
  4.3337,    92.0,  4.3403, 35.0610,13.0
  4.3136,    94.0,  4.3204, 35.0604,15.0
  4.2409,    96.0,  4.2478, 35.0587,15.0
  4.1958,    98.0,  4.2028, 35.0577,14.0
  4.1848,   100.0,  4.1919, 35.0576,16.0
  4.1858,   102.0,  4.1931, 35.0576,18.0
  4.1714,   104.0,  4.1788, 35.0560,19.0
  4.1074,   106.0,  4.1149, 35.0512,16.0
  4.0972,   108.0,  4.1048, 35.0507,20.0
  4.0813,   110.0,  4.0891, 35.0526,15.0
  4.1025,   112.0,  4.1104, 35.0588,17.0
  4.1036,   114.0,  4.1117, 35.0606,18.0
  4.0790,   116.0,  4.0872, 35.0599,13.0
  4.0486,   118.0,  4.0569, 35.0596,13.0
  4.0167,   120.0,  4.0251, 35.0575,13.0
