CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/220-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226718
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/220-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226718
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 220
CASTNO = 1
DATE = 19990915
TIME = 2227
LATITUDE = 78.8333
LONGITUDE = 3.1735
DEPTH = 2381.6
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  3.6806,     6.0,  3.6810, 34.4211,19.0
  3.6805,     8.0,  3.6810, 34.4212,18.0
  4.0201,    10.0,  4.0208, 34.5363,14.0
  4.1079,    12.0,  4.1087, 34.5527,11.0
  4.1032,    14.0,  4.1042, 34.5561,18.0
  4.1024,    16.0,  4.1035, 34.5706,16.0
  4.8515,    18.0,  4.8529, 34.8133,13.0
  4.9673,    20.0,  4.9688, 34.8401,16.0
  4.9892,    22.0,  4.9909, 34.8453,15.0
  4.9907,    24.0,  4.9925, 34.8476,15.0
  5.0093,    26.0,  5.0113, 34.8572,17.0
  5.0156,    28.0,  5.0178, 34.8667,14.0
  5.0150,    30.0,  5.0173, 34.8867,13.0
  4.9868,    32.0,  4.9893, 34.8881,15.0
  4.9710,    34.0,  4.9736, 34.8870,13.0
  4.9643,    36.0,  4.9671, 34.8913,17.0
  4.8982,    38.0,  4.9011, 34.8913,15.0
  4.9318,    40.0,  4.9349, 34.8997,18.0
  4.9765,    42.0,  4.9797, 34.9167,18.0
  5.0171,    44.0,  5.0205, 34.9402,18.0
  4.8257,    46.0,  4.8292, 34.9226,16.0
  4.7861,    48.0,  4.7897, 34.9224,18.0
  4.8160,    50.0,  4.8198, 34.9392,17.0
  4.7424,    52.0,  4.7463, 34.9358,15.0
  4.7034,    54.0,  4.7074, 34.9378,15.0
  4.5983,    56.0,  4.6024, 34.9315,19.0
  4.4555,    58.0,  4.4598, 34.9260,16.0
  4.2798,    60.0,  4.2841, 34.9269,18.0
  4.2282,    62.0,  4.2326, 34.9393,14.0
  4.2384,    64.0,  4.2429, 34.9527,15.0
  4.2442,    66.0,  4.2489, 34.9598,14.0
  4.2111,    68.0,  4.2159, 34.9691,15.0
  4.2319,    70.0,  4.2369, 34.9894,14.0
  4.3328,    72.0,  4.3380, 35.0209,15.0
  4.3287,    74.0,  4.3340, 35.0358,14.0
  4.3495,    76.0,  4.3550, 35.0479,15.0
  4.3387,    78.0,  4.3443, 35.0484,12.0
  4.0099,    80.0,  4.0155, 35.0116,13.0
  3.8633,    82.0,  3.8689, 35.0001,13.0
  3.8439,    84.0,  3.8496, 34.9999,15.0
  3.8925,    86.0,  3.8984, 35.0144,14.0
  3.9378,    88.0,  3.9438, 35.0293,11.0
  3.9317,    90.0,  3.9379, 35.0309,16.0
  4.0018,    92.0,  4.0083, 35.0448,16.0
  3.9844,    94.0,  3.9910, 35.0431,15.0
  3.9406,    96.0,  3.9472, 35.0395,12.0
  3.9289,    98.0,  3.9356, 35.0396,16.0
  3.8738,   100.0,  3.8806, 35.0397,17.0
  3.8461,   102.0,  3.8531, 35.0390,20.0
  3.8134,   104.0,  3.8205, 35.0361,16.0
  3.7463,   106.0,  3.7535, 35.0311,17.0
  3.7438,   108.0,  3.7511, 35.0327,18.0
  3.7503,   110.0,  3.7578, 35.0356,17.0
  3.7403,   112.0,  3.7479, 35.0407,18.0
  3.7191,   114.0,  3.7268, 35.0401,17.0
  3.7210,   116.0,  3.7289, 35.0429,13.0
  3.6935,   118.0,  3.7015, 35.0402,15.0
  3.6673,   120.0,  3.6754, 35.0384,14.0
  3.6564,   122.0,  3.6646, 35.0389,16.0
  3.6152,   124.0,  3.6235, 35.0367,13.0
  3.6126,   126.0,  3.6211, 35.0377,14.0
  3.6014,   128.0,  3.6100, 35.0363,17.0
  3.5482,   130.0,  3.5569, 35.0337,16.0
  3.5064,   132.0,  3.5151, 35.0292,13.0
  3.4427,   134.0,  3.4515, 35.0236,13.0
  3.3983,   136.0,  3.4072, 35.0200,16.0
  3.3896,   138.0,  3.3986, 35.0191,17.0
  3.3639,   140.0,  3.3730, 35.0179,17.0
  3.3480,   142.0,  3.3572, 35.0174,21.0
  3.3595,   144.0,  3.3688, 35.0212,21.0
  3.3662,   146.0,  3.3757, 35.0230,16.0
  3.3675,   148.0,  3.3771, 35.0233,17.0
  3.3493,   150.0,  3.3590, 35.0224,16.0
  3.3373,   152.0,  3.3472, 35.0231,17.0
  3.3363,   154.0,  3.3463, 35.0231,19.0
  3.3345,   156.0,  3.3446, 35.0231,22.0
  3.3333,   158.0,  3.3435, 35.0231,19.0
  3.3310,   160.0,  3.3414, 35.0228,18.0
  3.3257,   162.0,  3.3362, 35.0229,16.0
  3.3181,   164.0,  3.3287, 35.0227,18.0
  3.3098,   166.0,  3.3206, 35.0227,11.0
  3.3040,   168.0,  3.3149, 35.0232,15.0
  3.3094,   170.0,  3.3204, 35.0280,16.0
  3.3080,   172.0,  3.3192, 35.0286,14.0
  3.3054,   174.0,  3.3167, 35.0289,14.0
  3.2953,   176.0,  3.3067, 35.0281,15.0
  3.2946,   178.0,  3.3061, 35.0304,15.0
  3.2673,   180.0,  3.2789, 35.0279,14.0
  3.2205,   182.0,  3.2322, 35.0227,13.0
  3.2083,   184.0,  3.2201, 35.0233,16.0
  3.1999,   186.0,  3.2118, 35.0231,19.0
  3.1906,   188.0,  3.2027, 35.0226,16.0
  3.1825,   190.0,  3.1947, 35.0226,13.0
  3.1794,   192.0,  3.1917, 35.0234,17.0
  3.1738,   194.0,  3.1862, 35.0235,18.0
  3.1519,   196.0,  3.1644, 35.0229,18.0
  3.1264,   198.0,  3.1390, 35.0215,18.0
  3.1233,   200.0,  3.1360, 35.0222,17.0
  3.1214,   202.0,  3.1342, 35.0219,20.0
  3.1171,   204.0,  3.1300, 35.0221,17.0
  3.1090,   206.0,  3.1220, 35.0233,18.0
  3.1072,   208.0,  3.1204, 35.0246,16.0
  3.0848,   210.0,  3.0981, 35.0233,15.0
  3.0713,   212.0,  3.0847, 35.0232,15.0
  3.0491,   214.0,  3.0626, 35.0233,17.0
  3.0255,   216.0,  3.0391, 35.0226,16.0
  3.0283,   218.0,  3.0420, 35.0243,16.0
  3.0230,   220.0,  3.0368, 35.0250,13.0
  3.0063,   222.0,  3.0202, 35.0247,14.0
  2.9971,   224.0,  3.0111, 35.0240,17.0
  2.9457,   226.0,  2.9598, 35.0182,14.0
  2.9143,   228.0,  2.9285, 35.0166,16.0
  2.8915,   230.0,  2.9057, 35.0143,13.0
  2.8077,   232.0,  2.8219, 35.0062,17.0
  2.7483,   234.0,  2.7626, 35.0006,17.0
  2.7165,   236.0,  2.7308, 34.9999,17.0
  2.7259,   238.0,  2.7404, 35.0044,17.0
  2.7568,   240.0,  2.7715, 35.0093,18.0
  2.7196,   242.0,  2.7343, 35.0055,18.0
  2.6779,   244.0,  2.6926, 35.0016,16.0
  2.6634,   246.0,  2.6782, 35.0007,14.0
  2.6390,   248.0,  2.6538, 35.0003,14.0
  2.6195,   250.0,  2.6344, 34.9983,14.0
  2.5630,   252.0,  2.5780, 34.9928,14.0
  2.5182,   254.0,  2.5332, 34.9923,16.0
  2.5101,   256.0,  2.5252, 34.9924,15.0
  2.5002,   258.0,  2.5154, 34.9913,14.0
  2.5088,   260.0,  2.5241, 34.9934,16.0
  2.5387,   262.0,  2.5542, 34.9991,18.0
  2.5872,   264.0,  2.6029, 35.0061,15.0
  2.6314,   266.0,  2.6474, 35.0133,17.0
  2.6412,   268.0,  2.6573, 35.0143,13.0
  2.6513,   270.0,  2.6675, 35.0163,15.0
  2.6593,   272.0,  2.6757, 35.0174,15.0
  2.6282,   274.0,  2.6447, 35.0146,14.0
  2.6149,   276.0,  2.6314, 35.0133,14.0
  2.5650,   278.0,  2.5816, 35.0079,19.0
  2.5158,   280.0,  2.5324, 35.0038,14.0
  2.5130,   282.0,  2.5297, 35.0042,15.0
  2.5062,   284.0,  2.5230, 35.0037,17.0
  2.5027,   286.0,  2.5196, 35.0038,21.0
  2.4953,   288.0,  2.5123, 35.0031,18.0
  2.4959,   290.0,  2.5131, 35.0038,14.0
  2.4963,   292.0,  2.5136, 35.0038,18.0
  2.4967,   294.0,  2.5141, 35.0040,23.0
  2.4883,   296.0,  2.5058, 35.0032,20.0
  2.4820,   298.0,  2.4996, 35.0030,16.0
  2.4766,   300.0,  2.4943, 35.0028,15.0
  2.4610,   302.0,  2.4788, 35.0011,16.0
