CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/212-2, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226714
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/212-2, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226714
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 212
CASTNO = 2
DATE = 19990914
TIME = 1436
LATITUDE = 78.8357
LONGITUDE = 6.9157
DEPTH = 1525.0
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  6.3644,     2.0,  6.3645, 34.9778,10.0
  6.3639,     4.0,  6.3642, 34.9778,3.0
  6.3645,     6.0,  6.3650, 34.9770,17.0
  6.3646,     8.0,  6.3653, 34.9768,21.0
  6.3645,    10.0,  6.3653, 34.9765,17.0
  6.3628,    12.0,  6.3638, 34.9766,18.0
  6.3624,    14.0,  6.3636, 34.9768,17.0
  6.3609,    16.0,  6.3623, 34.9786,20.0
  6.3604,    18.0,  6.3619, 34.9785,15.0
  6.3614,    20.0,  6.3631, 34.9787,14.0
  6.3618,    22.0,  6.3637, 34.9789,20.0
  6.3612,    24.0,  6.3633, 34.9787,13.0
  6.3598,    26.0,  6.3621, 34.9791,13.0
  6.3450,    28.0,  6.3474, 34.9855,19.0
  6.2463,    30.0,  6.2489, 35.0170,16.0
  6.1922,    32.0,  6.1950, 35.0416,15.0
  6.1425,    34.0,  6.1455, 35.0507,16.0
  5.9952,    36.0,  5.9982, 35.0526,19.0
  5.9483,    38.0,  5.9515, 35.0505,15.0
  5.8351,    40.0,  5.8384, 35.0472,20.0
  5.8658,    42.0,  5.8693, 35.0655,25.0
  5.8567,    44.0,  5.8604, 35.0730,14.0
  5.5329,    46.0,  5.5366, 35.0513,13.0
  5.6429,    48.0,  5.6469, 35.0850,20.0
  5.7005,    50.0,  5.7047, 35.0998,25.0
  5.6929,    52.0,  5.6972, 35.1002,14.0
  5.6287,    54.0,  5.6332, 35.1026,10.0
  5.5772,    56.0,  5.5818, 35.1042,13.0
  5.5467,    58.0,  5.5514, 35.1052,26.0
  5.5213,    60.0,  5.5262, 35.1046,14.0
  5.5005,    62.0,  5.5055, 35.1048,18.0
  5.4753,    64.0,  5.4805, 35.1045,19.0
  5.4370,    66.0,  5.4423, 35.1041,17.0
  5.4116,    68.0,  5.4171, 35.1015,16.0
  5.3521,    70.0,  5.3577, 35.0959,16.0
  5.2851,    72.0,  5.2909, 35.0899,15.0
  5.2094,    74.0,  5.2153, 35.0862,16.0
