CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/219-2, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226717
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/219-2, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226717
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 219
CASTNO = 2
DATE = 19990915
TIME = 1606
LATITUDE = 78.9918
LONGITUDE = -0.271
DEPTH = 2444.3
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  2.9929,     4.0,  2.9931, 34.3360,7.0
  2.9928,     6.0,  2.9931, 34.3359,22.0
  2.9926,     8.0,  2.9931, 34.3359,17.0
  2.9944,    10.0,  2.9950, 34.3391,14.0
  3.1624,    12.0,  3.1632, 34.4171,14.0
  3.2491,    14.0,  3.2500, 34.4566,15.0
  3.2523,    16.0,  3.2533, 34.4761,13.0
  3.2552,    18.0,  3.2563, 34.5098,17.0
  3.3935,    20.0,  3.3948, 34.5786,17.0
  3.0203,    22.0,  3.0216, 34.5510,14.0
  2.6190,    24.0,  2.6203, 34.5471,15.0
  2.4703,    26.0,  2.4718, 34.5372,14.0
  2.2950,    28.0,  2.2966, 34.5585,12.0
  2.5657,    30.0,  2.5674, 34.5966,17.0
  2.6188,    32.0,  2.6206, 34.6085,14.0
  2.7303,    34.0,  2.7323, 34.6306,15.0
  2.5177,    36.0,  2.5197, 34.6303,11.0
  2.2310,    38.0,  2.2330, 34.6471,14.0
  2.1436,    40.0,  2.1457, 34.6653,14.0
  2.1829,    42.0,  2.1851, 34.6877,15.0
  2.4419,    44.0,  2.4444, 34.7458,17.0
  2.6848,    46.0,  2.6874, 34.7827,18.0
  2.8373,    48.0,  2.8402, 34.8058,19.0
  2.9800,    50.0,  2.9830, 34.8303,19.0
  3.0880,    52.0,  3.0912, 34.8459,18.0
  3.2542,    54.0,  3.2576, 34.8716,16.0
  3.4297,    56.0,  3.4333, 34.9034,22.0
  3.7220,    58.0,  3.7259, 34.9551,18.0
  3.6323,    60.0,  3.6363, 34.9466,15.0
  3.7419,    62.0,  3.7461, 34.9683,14.0
  3.8725,    64.0,  3.8768, 34.9895,19.0
  3.8802,    66.0,  3.8847, 34.9915,13.0
  3.8030,    68.0,  3.8076, 34.9817,17.0
  3.7471,    70.0,  3.7518, 34.9777,18.0
  3.8054,    72.0,  3.8103, 34.9858,15.0
  3.8287,    74.0,  3.8337, 34.9889,16.0
  3.8495,    76.0,  3.8547, 34.9921,14.0
  3.8487,    78.0,  3.8540, 34.9930,13.0
  3.8243,    80.0,  3.8297, 34.9919,14.0
  3.8125,    82.0,  3.8181, 34.9917,13.0
  3.7121,    84.0,  3.7178, 34.9810,14.0
  3.6684,    86.0,  3.6742, 34.9759,14.0
  3.4923,    88.0,  3.4980, 34.9603,13.0
  3.4201,    90.0,  3.4259, 34.9561,12.0
  3.4689,    92.0,  3.4749, 34.9641,14.0
  3.4825,    94.0,  3.4886, 34.9663,12.0
  3.4803,    96.0,  3.4865, 34.9664,12.0
  3.5314,    98.0,  3.5378, 34.9777,18.0
  3.6358,   100.0,  3.6425, 34.9978,16.0
  3.6813,   102.0,  3.6882, 35.0054,17.0
  3.6934,   104.0,  3.7004, 35.0077,18.0
  3.6638,   106.0,  3.6709, 35.0054,15.0
  3.5333,   108.0,  3.5404, 34.9906,19.0
  3.5121,   110.0,  3.5193, 34.9892,17.0
  3.4878,   112.0,  3.4951, 34.9877,14.0
  3.4261,   114.0,  3.4335, 34.9841,15.0
  3.4293,   116.0,  3.4368, 34.9867,15.0
  3.4525,   118.0,  3.4602, 34.9913,15.0
  3.4988,   120.0,  3.5067, 34.9986,14.0
  3.3130,   122.0,  3.3209, 34.9807,14.0
  3.2357,   124.0,  3.2436, 34.9735,15.0
  3.2137,   126.0,  3.2217, 34.9713,15.0
  3.1943,   128.0,  3.2024, 34.9714,16.0
  3.1888,   130.0,  3.1971, 34.9714,13.0
  3.1859,   132.0,  3.1943, 34.9724,15.0
  3.1857,   134.0,  3.1942, 34.9742,14.0
  3.1706,   136.0,  3.1792, 34.9762,17.0
  3.1503,   138.0,  3.1591, 34.9751,17.0
  3.1422,   140.0,  3.1511, 34.9740,13.0
  3.1288,   142.0,  3.1378, 34.9738,21.0
  3.1333,   144.0,  3.1424, 34.9777,17.0
  3.1226,   146.0,  3.1317, 34.9774,16.0
  3.1237,   148.0,  3.1330, 34.9797,18.0
  3.1312,   150.0,  3.1407, 34.9832,19.0
  3.1385,   152.0,  3.1482, 34.9870,16.0
  3.1303,   154.0,  3.1401, 34.9872,17.0
  3.1290,   156.0,  3.1389, 34.9898,19.0
  3.1312,   158.0,  3.1412, 34.9904,17.0
  3.1402,   160.0,  3.1504, 34.9924,18.0
  3.1535,   162.0,  3.1638, 34.9949,15.0
  3.1554,   164.0,  3.1658, 34.9959,11.0
  3.1538,   166.0,  3.1644, 34.9963,14.0
  3.1600,   168.0,  3.1707, 34.9976,13.0
  3.1913,   170.0,  3.2022, 35.0055,13.0
  3.2337,   172.0,  3.2448, 35.0133,14.0
  3.2243,   174.0,  3.2355, 35.0143,13.0
  3.1734,   176.0,  3.1847, 35.0096,15.0
  3.1644,   178.0,  3.1758, 35.0094,12.0
  3.1637,   180.0,  3.1752, 35.0099,12.0
  3.1620,   182.0,  3.1736, 35.0104,16.0
  3.1461,   184.0,  3.1578, 35.0091,15.0
  3.1654,   186.0,  3.1773, 35.0142,15.0
  3.1652,   188.0,  3.1772, 35.0144,15.0
  3.1096,   190.0,  3.1216, 35.0085,18.0
  2.9661,   192.0,  2.9780, 34.9944,20.0
  2.9464,   194.0,  2.9584, 34.9930,17.0
  2.9277,   196.0,  2.9398, 34.9927,19.0
  2.9238,   198.0,  2.9360, 34.9944,19.0
  2.9345,   200.0,  2.9469, 34.9994,18.0
  2.9309,   202.0,  2.9434, 35.0000,12.0
  2.9242,   204.0,  2.9368, 35.0020,18.0
  2.9006,   206.0,  2.9133, 34.9999,20.0
  2.8662,   208.0,  2.8790, 34.9981,16.0
  2.8529,   210.0,  2.8658, 34.9973,15.0
  2.8393,   212.0,  2.8523, 34.9965,17.0
  2.8130,   214.0,  2.8261, 34.9948,16.0
  2.8052,   216.0,  2.8184, 34.9945,13.0
  2.8011,   218.0,  2.8144, 34.9943,14.0
  2.7873,   220.0,  2.8007, 34.9933,17.0
  2.7344,   222.0,  2.7479, 34.9902,15.0
  2.7174,   224.0,  2.7310, 34.9890,15.0
  2.6862,   226.0,  2.6998, 34.9874,15.0
  2.6725,   228.0,  2.6862, 34.9867,15.0
  2.6474,   230.0,  2.6611, 34.9855,13.0
  2.6168,   232.0,  2.6306, 34.9833,16.0
  2.6012,   234.0,  2.6151, 34.9831,12.0
  2.5983,   236.0,  2.6123, 34.9832,20.0
  2.5553,   238.0,  2.5694, 34.9801,14.0
  2.5323,   240.0,  2.5465, 34.9787,16.0
  2.5161,   242.0,  2.5304, 34.9785,15.0
  2.4932,   244.0,  2.5075, 34.9774,22.0
  2.4458,   246.0,  2.4602, 34.9751,18.0
  2.4321,   248.0,  2.4466, 34.9751,14.0
  2.4158,   250.0,  2.4304, 34.9735,12.0
  2.4041,   252.0,  2.4188, 34.9740,19.0
  2.3930,   254.0,  2.4078, 34.9745,14.0
  2.3880,   256.0,  2.4029, 34.9752,15.0
  2.3761,   258.0,  2.3911, 34.9753,15.0
  2.3634,   260.0,  2.3785, 34.9761,17.0
