CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/193-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226699
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/193-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226699
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 193
CASTNO = 1
DATE = 19990912
TIME = 0510
LATITUDE = 75.8013
LONGITUDE = 15.3113
DEPTH = 374.3
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  5.4488,     6.0,  5.4493, 34.7267,16.0
  5.4529,     8.0,  5.4535, 34.7276,43.0
  5.4550,    10.0,  5.4558, 34.7282,18.0
  5.4566,    12.0,  5.4576, 34.7287,25.0
  5.4622,    14.0,  5.4633, 34.7306,25.0
  5.4716,    16.0,  5.4729, 34.7346,27.0
  5.4718,    18.0,  5.4732, 34.7343,15.0
  5.4626,    20.0,  5.4642, 34.7325,23.0
  5.4693,    22.0,  5.4711, 34.7321,17.0
  5.4528,    24.0,  5.4547, 34.7282,14.0
  5.4514,    26.0,  5.4535, 34.7279,17.0
  5.4493,    28.0,  5.4515, 34.7273,19.0
  5.4737,    30.0,  5.4761, 34.7361,17.0
  5.4740,    32.0,  5.4766, 34.7370,18.0
  5.3890,    34.0,  5.3917, 34.7274,26.0
  5.3585,    36.0,  5.3614, 34.7248,14.0
  5.3292,    38.0,  5.3322, 34.7244,12.0
  5.3122,    40.0,  5.3154, 34.7248,13.0
  5.3044,    42.0,  5.3077, 34.7341,16.0
  5.3086,    44.0,  5.3121, 34.7465,22.0
  5.3079,    46.0,  5.3116, 34.7543,13.0
  5.2987,    48.0,  5.3025, 34.7566,15.0
  5.2907,    50.0,  5.2947, 34.7602,21.0
  5.2820,    52.0,  5.2861, 34.7663,19.0
  5.2883,    54.0,  5.2926, 34.7681,17.0
  5.2879,    56.0,  5.2924, 34.7699,25.0
  5.2711,    58.0,  5.2757, 34.7780,16.0
  5.2443,    60.0,  5.2491, 34.7913,13.0
  5.2335,    62.0,  5.2384, 34.7995,16.0
  5.1585,    64.0,  5.1635, 34.8156,16.0
  5.1327,    66.0,  5.1378, 34.8165,15.0
  5.1177,    68.0,  5.1230, 34.8171,15.0
  5.0804,    70.0,  5.0858, 34.8666,16.0
  5.0997,    72.0,  5.1053, 34.9310,16.0
  5.1125,    74.0,  5.1183, 34.9447,12.0
