CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/195-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226701
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/195-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226701
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 195
CASTNO = 1
DATE = 19990912
TIME = 1150
LATITUDE = 75.9717
LONGITUDE = 15.3363
DEPTH = 358.5
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  4.7591,     4.0,  4.7594, 34.5461,4.0
  4.7617,     6.0,  4.7621, 34.5464,13.0
  4.7580,     8.0,  4.7586, 34.5445,18.0
  4.7540,    10.0,  4.7547, 34.5439,15.0
  4.7579,    12.0,  4.7587, 34.5452,14.0
  4.7589,    14.0,  4.7599, 34.5467,11.0
  4.7596,    16.0,  4.7607, 34.5475,10.0
  4.7596,    18.0,  4.7609, 34.5480,14.0
  4.7574,    20.0,  4.7588, 34.5493,14.0
  4.7705,    22.0,  4.7721, 34.5555,12.0
  4.7688,    24.0,  4.7705, 34.5587,11.0
  4.7609,    26.0,  4.7628, 34.5595,14.0
  4.7683,    28.0,  4.7703, 34.5605,12.0
  4.7685,    30.0,  4.7707, 34.5580,12.0
  4.7658,    32.0,  4.7681, 34.5566,13.0
  4.7654,    34.0,  4.7679, 34.5565,16.0
  4.7690,    36.0,  4.7716, 34.5572,13.0
  4.7629,    38.0,  4.7657, 34.5606,19.0
  4.8361,    40.0,  4.8391, 34.6331,13.0
  4.9904,    42.0,  4.9936, 34.6665,13.0
  5.2586,    44.0,  5.2621, 34.7221,14.0
  5.3911,    46.0,  5.3948, 34.7527,11.0
  5.4216,    48.0,  5.4254, 34.7578,5.0
  5.3261,    50.0,  5.3301, 34.7434,16.0
  5.4836,    52.0,  5.4878, 34.7681,16.0
  5.5499,    54.0,  5.5543, 34.7815,16.0
  5.4838,    56.0,  5.4883, 34.7756,21.0
  5.1148,    58.0,  5.1193, 34.7386,16.0
  4.7320,    60.0,  4.7364, 34.6998,13.0
  4.1930,    62.0,  4.1974, 34.6719,13.0
  3.9751,    64.0,  3.9795, 34.7125,23.0
  3.8658,    66.0,  3.8703, 34.7249,20.0
  3.8310,    68.0,  3.8356, 34.7259,17.0
  3.5929,    70.0,  3.5975, 34.7104,10.0
  3.3349,    72.0,  3.3395, 34.7213,11.0
