CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/229-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226727
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/229-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226727
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 229
CASTNO = 1
DATE = 19990917
TIME = 1655
LATITUDE = 79.3335
LONGITUDE = -0.0018
DEPTH = 2855.6
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
 -0.4695,     4.0, -0.4694, 32.7699,25.0
 -0.4698,     6.0, -0.4696, 32.7700,20.0
 -0.4278,     8.0, -0.4276, 32.8201,19.0
 -0.3824,    10.0, -0.3821, 32.8729,17.0
 -0.3516,    12.0, -0.3513, 32.8925,14.0
 -0.3525,    14.0, -0.3521, 32.9240,17.0
  0.0282,    16.0,  0.0287, 33.1446,14.0
  0.4727,    18.0,  0.4733, 33.3144,14.0
  0.9495,    20.0,  0.9503, 33.7870,18.0
 -1.3871,    22.0, -1.3866, 33.8873,11.0
 -1.5519,    24.0, -1.5514, 33.9490,16.0
 -1.6047,    26.0, -1.6042, 33.9996,16.0
 -1.5240,    28.0, -1.5234, 34.0431,13.0
 -1.2089,    30.0, -1.2082, 34.0922,15.0
 -1.1762,    32.0, -1.1754, 34.1194,17.0
 -1.1454,    34.0, -1.1446, 34.1545,13.0
 -1.3439,    36.0, -1.3431, 34.1816,14.0
 -1.6898,    38.0, -1.6890, 34.2034,15.0
 -1.7422,    40.0, -1.7414, 34.2111,15.0
 -1.7599,    42.0, -1.7591, 34.2280,14.0
 -1.7428,    44.0, -1.7419, 34.2327,13.0
 -1.6878,    46.0, -1.6869, 34.2390,18.0
 -1.5734,    48.0, -1.5724, 34.2478,16.0
 -1.7923,    50.0, -1.7913, 34.2509,17.0
 -1.8215,    52.0, -1.8205, 34.2518,17.0
 -1.8290,    54.0, -1.8279, 34.2546,20.0
 -1.8295,    56.0, -1.8284, 34.2585,18.0
 -1.8228,    58.0, -1.8217, 34.2675,17.0
 -1.8165,    60.0, -1.8153, 34.2714,18.0
 -1.7961,    62.0, -1.7949, 34.2813,19.0
 -1.7857,    64.0, -1.7844, 34.2906,17.0
 -1.7730,    66.0, -1.7717, 34.2978,17.0
 -1.7430,    68.0, -1.7416, 34.3111,16.0
 -1.7352,    70.0, -1.7338, 34.3153,18.0
