CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/228-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226726
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/228-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226726
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 228
CASTNO = 1
DATE = 19990917
TIME = 1358
LATITUDE = 79.166
LONGITUDE = -0.008
DEPTH = 2669.6
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  0.2900,     4.0,  0.2902, 32.6764,19.0
  0.2935,     6.0,  0.2937, 32.6753,20.0
  0.2934,     8.0,  0.2937, 32.6766,14.0
  0.3045,    10.0,  0.3049, 32.6781,16.0
  0.3295,    12.0,  0.3299, 32.6826,17.0
  0.3148,    14.0,  0.3153, 32.6839,17.0
  0.4569,    16.0,  0.4575, 32.7351,17.0
  0.8656,    18.0,  0.8663, 32.8909,17.0
  0.7539,    20.0,  0.7547, 33.2310,15.0
  0.3164,    22.0,  0.3172, 33.4775,18.0
 -0.1978,    24.0, -0.1970, 33.6430,12.0
  0.5395,    26.0,  0.5405, 34.0010,18.0
  1.0199,    28.0,  1.0211, 34.1104,15.0
  0.7006,    30.0,  0.7018, 34.1706,14.0
  0.2398,    32.0,  0.2410, 34.2081,15.0
 -0.7321,    34.0, -0.7312, 34.1888,16.0
 -0.5546,    36.0, -0.5535, 34.2323,16.0
 -0.5859,    38.0, -0.5847, 34.2456,16.0
 -0.1895,    40.0, -0.1881, 34.2902,21.0
 -0.0639,    42.0, -0.0624, 34.3183,15.0
 -0.5554,    44.0, -0.5540, 34.2936,17.0
 -0.7999,    46.0, -0.7986, 34.2929,17.0
 -0.6339,    48.0, -0.6325, 34.3225,18.0
 -0.1486,    50.0, -0.1469, 34.3606,16.0
 -0.1987,    52.0, -0.1969, 34.3649,20.0
 -0.4062,    54.0, -0.4045, 34.3597,21.0
 -0.2998,    56.0, -0.2980, 34.3692,19.0
 -0.5363,    58.0, -0.5345, 34.3625,18.0
 -0.5202,    60.0, -0.5183, 34.3750,22.0
 -0.5357,    62.0, -0.5338, 34.3821,17.0
 -0.5763,    64.0, -0.5743, 34.3894,14.0
 -0.7425,    66.0, -0.7406, 34.3828,18.0
 -1.2333,    68.0, -1.2316, 34.3680,20.0
 -1.2855,    70.0, -1.2838, 34.3691,17.0
 -1.2311,    72.0, -1.2293, 34.3763,14.0
 -1.1363,    74.0, -1.1344, 34.3860,13.0
 -0.9448,    76.0, -0.9427, 34.3988,13.0
 -0.9556,    78.0, -0.9535, 34.3984,15.0
 -1.1004,    80.0, -1.0984, 34.3931,15.0
 -1.1105,    82.0, -1.1084, 34.3973,10.0
 -1.1026,    84.0, -1.1005, 34.4010,15.0
 -0.9339,    86.0, -0.9315, 34.4177,17.0
 -0.7364,    88.0, -0.7338, 34.4351,15.0
 -0.9298,    90.0, -0.9273, 34.4370,15.0
 -0.8618,    92.0, -0.8592, 34.4444,16.0
 -0.8405,    94.0, -0.8378, 34.4476,15.0
 -0.7981,    96.0, -0.7953, 34.4558,12.0
 -0.7727,    98.0, -0.7699, 34.4612,18.0
 -0.6630,   100.0, -0.6600, 34.4793,16.0
 -0.4901,   102.0, -0.4869, 34.5013,18.0
 -0.2247,   104.0, -0.2212, 34.5311,21.0
 -0.0712,   106.0, -0.0674, 34.5519,18.0
  0.3747,   108.0,  0.3789, 34.5920,15.0
  0.5953,   110.0,  0.5998, 34.6248,17.0
  0.7380,   112.0,  0.7428, 34.6365,17.0
  0.7442,   114.0,  0.7491, 34.6371,16.0
  0.9201,   116.0,  0.9252, 34.6591,18.0
  1.0072,   118.0,  1.0124, 34.6681,15.0
  0.9892,   120.0,  0.9945, 34.6689,13.0
  0.9969,   122.0,  1.0023, 34.6737,15.0
  1.0456,   124.0,  1.0513, 34.6867,15.0
  1.1374,   126.0,  1.1432, 34.7021,12.0
  1.2196,   128.0,  1.2256, 34.7154,16.0
  1.3413,   130.0,  1.3475, 34.7323,12.0
  1.2904,   132.0,  1.2966, 34.7294,17.0
  1.4573,   134.0,  1.4638, 34.7624,11.0
  1.5829,   136.0,  1.5897, 34.7752,15.0
  1.4734,   138.0,  1.4802, 34.7658,15.0
  1.3411,   140.0,  1.3478, 34.7549,14.0
  1.3191,   142.0,  1.3259, 34.7568,15.0
  1.7980,   144.0,  1.8054, 34.8113,22.0
  1.7651,   146.0,  1.7726, 34.8131,19.0
  1.8247,   148.0,  1.8324, 34.8213,17.0
  2.0284,   150.0,  2.0365, 34.8483,20.0
  2.0373,   152.0,  2.0455, 34.8507,20.0
  2.0047,   154.0,  2.0130, 34.8480,14.0
  2.1171,   156.0,  2.1256, 34.8638,16.0
  2.1330,   158.0,  2.1417, 34.8659,17.0
  2.1781,   160.0,  2.1869, 34.8738,17.0
  2.3434,   162.0,  2.3526, 34.9008,16.0
  2.3962,   164.0,  2.4056, 34.9089,17.0
  2.4163,   166.0,  2.4258, 34.9113,15.0
  2.4157,   168.0,  2.4253, 34.9117,14.0
  2.3806,   170.0,  2.3903, 34.9095,13.0
  2.3582,   172.0,  2.3680, 34.9079,14.0
  2.3531,   174.0,  2.3630, 34.9077,14.0
  2.4282,   176.0,  2.4383, 34.9230,14.0
  2.4700,   178.0,  2.4803, 34.9279,12.0
  2.5252,   180.0,  2.5357, 34.9373,17.0
  2.5467,   182.0,  2.5573, 34.9398,15.0
  2.5549,   184.0,  2.5657, 34.9420,15.0
  2.5447,   186.0,  2.5556, 34.9409,17.0
  2.1623,   188.0,  2.1727, 34.9027,20.0
  2.1866,   190.0,  2.1971, 34.9071,13.0
  2.4203,   192.0,  2.4314, 34.9380,15.0
  2.5260,   194.0,  2.5373, 34.9500,17.0
  2.4226,   196.0,  2.4339, 34.9411,19.0
  2.3219,   198.0,  2.3332, 34.9305,19.0
  2.2637,   200.0,  2.2749, 34.9259,14.0
  2.2572,   202.0,  2.2685, 34.9270,19.0
  2.3005,   204.0,  2.3121, 34.9319,21.0
  2.1950,   206.0,  2.2065, 34.9222,17.0
  2.0026,   208.0,  2.0139, 34.9068,14.0
  1.9353,   210.0,  1.9466, 34.9019,17.0
  1.9039,   212.0,  1.9153, 34.8997,14.0
  1.8844,   214.0,  1.8959, 34.8991,14.0
  1.8796,   216.0,  1.8912, 34.9007,17.0
  2.0113,   218.0,  2.0232, 34.9172,16.0
  2.0162,   220.0,  2.0282, 34.9195,14.0
  2.0127,   222.0,  2.0248, 34.9195,15.0
  2.0112,   224.0,  2.0234, 34.9193,16.0
  2.0099,   226.0,  2.0222, 34.9198,18.0
  1.9984,   228.0,  2.0108, 34.9216,14.0
  2.0153,   230.0,  2.0279, 34.9252,16.0
  2.0203,   232.0,  2.0330, 34.9257,15.0
  2.0075,   234.0,  2.0203, 34.9258,18.0
  2.0107,   236.0,  2.0236, 34.9275,17.0
  2.0117,   238.0,  2.0247, 34.9276,17.0
  2.0170,   240.0,  2.0301, 34.9294,15.0
  2.0225,   242.0,  2.0358, 34.9299,16.0
  2.0233,   244.0,  2.0367, 34.9308,17.0
  2.0165,   246.0,  2.0300, 34.9304,17.0
  2.0079,   248.0,  2.0215, 34.9302,15.0
  1.9983,   250.0,  2.0120, 34.9296,14.0
  2.0166,   252.0,  2.0304, 34.9334,15.0
  2.0375,   254.0,  2.0515, 34.9356,13.0
  2.0340,   256.0,  2.0481, 34.9354,15.0
  1.9650,   258.0,  1.9791, 34.9298,15.0
  1.9377,   260.0,  1.9518, 34.9284,13.0
  1.9232,   262.0,  1.9374, 34.9277,15.0
  1.9229,   264.0,  1.9372, 34.9279,14.0
  1.9916,   266.0,  2.0062, 34.9384,14.0
  2.2213,   268.0,  2.2365, 34.9679,15.0
  2.2297,   270.0,  2.2450, 34.9707,15.0
  2.2648,   272.0,  2.2803, 34.9752,15.0
  2.2230,   274.0,  2.2385, 34.9711,13.0
  2.2034,   276.0,  2.2190, 34.9691,16.0
  2.2072,   278.0,  2.2229, 34.9696,14.0
  2.2306,   280.0,  2.2465, 34.9724,16.0
  2.1801,   282.0,  2.1960, 34.9673,16.0
  2.1948,   284.0,  2.2109, 34.9699,16.0
  2.2763,   286.0,  2.2927, 34.9804,19.0
  2.2517,   288.0,  2.2681, 34.9799,20.0
  2.2763,   290.0,  2.2929, 34.9822,13.0
  2.2748,   292.0,  2.2915, 34.9824,17.0
  2.2420,   294.0,  2.2588, 34.9790,21.0
  2.2961,   296.0,  2.3132, 34.9852,19.0
  2.3127,   298.0,  2.3300, 34.9877,19.0
  2.2389,   300.0,  2.2560, 34.9791,18.0
  2.2243,   302.0,  2.2415, 34.9775,21.0
  2.1145,   304.0,  2.1316, 34.9664,17.0
  2.0732,   306.0,  2.0903, 34.9620,16.0
  2.0747,   308.0,  2.0919, 34.9626,17.0
  2.1329,   310.0,  2.1504, 34.9709,17.0
  2.1159,   312.0,  2.1334, 34.9703,17.0
  2.1317,   314.0,  2.1494, 34.9736,14.0
  2.1663,   316.0,  2.1842, 34.9785,15.0
  2.1617,   318.0,  2.1797, 34.9781,13.0
  2.1512,   320.0,  2.1693, 34.9769,15.0
  2.1502,   322.0,  2.1684, 34.9775,16.0
  2.1652,   324.0,  2.1836, 34.9791,15.0
  2.1715,   326.0,  2.1900, 34.9797,18.0
  2.1393,   328.0,  2.1578, 34.9770,18.0
  2.1263,   330.0,  2.1449, 34.9764,14.0
  2.2105,   332.0,  2.2295, 34.9869,13.0
  2.2150,   334.0,  2.2341, 34.9876,17.0
  2.1985,   336.0,  2.2177, 34.9859,15.0
  2.1834,   338.0,  2.2027, 34.9847,15.0
  2.1706,   340.0,  2.1899, 34.9833,14.0
  2.1547,   342.0,  2.1741, 34.9814,15.0
  2.1071,   344.0,  2.1265, 34.9766,15.0
  2.0710,   346.0,  2.0904, 34.9732,15.0
  2.0252,   348.0,  2.0446, 34.9695,20.0
  2.0022,   350.0,  2.0217, 34.9676,20.0
  2.0018,   352.0,  2.0214, 34.9678,20.0
  1.9982,   354.0,  2.0179, 34.9676,20.0
  2.0160,   356.0,  2.0359, 34.9714,20.0
  2.0288,   358.0,  2.0488, 34.9738,15.0
  2.0339,   360.0,  2.0541, 34.9753,18.0
  2.0053,   362.0,  2.0255, 34.9725,18.0
  2.0452,   364.0,  2.0656, 34.9784,15.0
